pid,location,run_type,error_block,scenario,date,time,task,trial,delay,error_task,btn_input,radio_prompt,nav_prompt,cal_prompt,nb_num,nb_correct,notes
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:02:32:895,radio,1,short,low,next_task,"Mexican Hits",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:02:40:048,radio,1,short,low,command_correct,"Mexican Hits",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:02:51:926,radio,1,short,low,confirm_correct,"Mexican Hits",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:02:52:932,radio,2,short,low,next_task,"Pacific Station",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:02:59:801,radio,2,short,low,command_correct,"Pacific Station",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:09:067,radio,2,short,low,confirm_correct,"Pacific Station",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:10:073,radio,3,short,low,next_task,"Midwest Communication",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:17:673,radio,3,short,low,command_correct,"Midwest Communication",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:26:326,radio,3,short,low,confirm_correct,"Midwest Communication",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:27:331,radio,4,short,low,next_task,"NBC Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:35:240,radio,4,short,low,command_correct,"NBC Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:43:943,radio,4,short,low,confirm_correct,"NBC Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:44:949,radio,5,short,low,next_task,"American Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:03:52:004,radio,5,short,low,command_correct,"American Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:04:00:469,radio,5,short,low,confirm_correct,"American Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:04:01:474,radio,6,short,low,next_task,"Canadian Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:04:08:606,radio,6,short,low,command_correct,"Canadian Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:04:17:423,radio,6,short,low,confirm_correct,"Canadian Radio",NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:04:18:426,tdt,,NA,NA,next_task,NA,NA,"NA ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:05:23:255,calendar,7,short,low,next_task,NA,NA,"Addison Safeway Saturday 10:00 AM ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:05:36:973,calendar,7,short,low,command_correct,NA,NA,"Addison Safeway Saturday 10:00 AM ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:05:45:716,calendar,7,short,low,confirm_correct,NA,NA,"Addison Safeway Saturday 10:00 AM ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:05:46:722,calendar,8,short,low,next_task,NA,NA,"William Costco Tuesday 5:00 PM ",,,
101_woz_s1_p1,sea,"Main Experiment",Low,1,4/18/2014,10:05:59:894,calendar,8,short,low,command_correct,NA,NA,"William Costco Tuesday 5:00 PM ",,,
